REIZ CONTINENTAL HOTEL ABUJA    
SUPPLIER 6133 MRS ADEBAYO PURCHASE
FROM 01-03-2022 TO 09-11-2022
Date       Ref.                 Description                           Debit       Credit      Balance
******************************************************************************************************
OPENING BALANCE                                                                                  0.00
01-03-2022 RR206964             Cat Fish                                        39000.01
01-03-2022 RR206975             BISCUIT                                         17200.00
01-03-2022 RR206976             Chivita Small                                   24000.00
01-03-2022 RR206976             CHIVITA  LARGE                                  20400.00
01-03-2022 RR206977             Squeezer                                         8000.00
01-03-2022 RR206977             Mopping Stick                                    7500.00
01-03-2022 RR206977             Mopping Bucket                                   6000.00
01-03-2022 RR206977             Parker                                           1200.00
01-03-2022 RR206978             Assorted sweet                                   8000.00
01-03-2022 RR206979             BITTER KOLA                                     12000.00
01-03-2022 RR206979             Kola Nut                                         6000.00
01-03-2022 RR206979             White Beans                                     22000.00
01-03-2022 RR206979             Dried Fish                                      24000.00
01-03-2022 RR206979             Red oil                                         24000.00
01-03-2022 RR206979             Pap                                              2500.00
01-03-2022 RR206979             Utazi Leaves                                     1000.00
01-03-2022 88791096             WEEKLY PURCHASES                  500000.00
02-03-2022 RR206989             BISCUIT                                         10750.00
02-03-2022 RR206990             CHIVITA  LARGE                                  10200.00
02-03-2022 RR206991             Take Away Pack (small)                          10400.00
02-03-2022 RR206991             Take Away Spoon                                  1200.00
02-03-2022 RR206991             TAKEAWAY FORK                                    1200.00
02-03-2022 RR206992             Tooth Pick (Local)                               1500.00
02-03-2022 RR206993             Pineapple Fruit                                 13500.00
02-03-2022 RR206993             Water Mellon                                    14400.00
02-03-2022 RR206993             Water Leaves                                     3000.00
02-03-2022 RR206993             Orange Fruit                                     7000.00
02-03-2022 RR206993             Afang Leave                                      4000.00
02-03-2022 RR206993             PERIWINKLE                                       4000.00
02-03-2022 RR206993             Plantain                                         6000.00
03-03-2022 RR215754             Tablet Butter                                   13500.00
03-03-2022 RR215755             Assorted sweet                                   8000.00
03-03-2022 RR215756             Orange Fruit                                     7000.00
03-03-2022 RR215756             Ugu Leaves                                       5000.00
03-03-2022 RR215756             Stock Fish Head                                 12000.00
03-03-2022 RR215756             Onion                                            5000.00
03-03-2022 RR215756             Fresh Ginger                                     2000.00
03-03-2022 RR215756             GARLIC  POWDER                                   2300.00
03-03-2022 RR215756             Okro                                             3000.00
03-03-2022 RR215756             Fresh Tomatos                                    8999.99
03-03-2022 RR215756             HOT PEPPER                                       6000.00
03-03-2022 RR215756             Lettuce                                          2000.00
03-03-2022 RR215756             Kpomo                                            3000.00
03-03-2022 RR215756             Green Beans                                      2500.00
03-03-2022 RR215756             Spring Onion                                     1500.00
03-03-2022 RR215757             Uzuza Leaves                                     1000.00
03-03-2022 RR215757             Oha Leaves                                       1000.00
03-03-2022 RR215757             Pawpaw                                           6000.00
03-03-2022 RR215757             Carrot                                           5000.00
03-03-2022 RR215757             Yam Tubas                                       12500.00
03-03-2022 RR215757             Peanut                                           9000.00
03-03-2022 RR215759             BITTER KOLA                                      6000.00
03-03-2022 RR215759             Kola Nut                                         3000.00
03-03-2022 RR215760             DANICA SWEET WHIP                                3600.00
03-03-2022 RR215760             Mozzaralla Chesse                               13155.00
03-03-2022 88791214             WEEKLY PURCHASES                  500000.00
04-03-2022 RR215769             MILTON STERILISING                               3090.00
04-03-2022 RR215770             Condom                                           9599.99
04-03-2022 RR215771             DRY MOP                                         10500.00
04-03-2022 RR215772             CHIVITA  LARGE                                  15300.00
04-03-2022 RR215772             Chivita Small                                   24000.00
04-03-2022 RR215773             BISCUIT                                         12900.00
04-03-2022 RR215774             Powdered Starch                                  6500.00
04-03-2022 RR215774             TAGGING PIN                                      2200.00
04-03-2022 RR215775             TAGGING PIN                                      2200.00
04-03-2022 RR215776             White Nylon leather                              4700.00
04-03-2022 RR215777             Assorted sweet                                   8000.00
04-03-2022 RR215778             Green Sponge                                     1600.00
04-03-2022 RR215779             BITTER KOLA                                      6000.00
04-03-2022 RR215779             Kola Nut                                         3000.00
04-03-2022 RR215779             Dried Fish                                      24000.00
04-03-2022 RR215779             Cray Fish                                        8000.00
05-03-2022 RR215785             BISCUIT                                          8600.00
05-03-2022 RR215786             CHIVITA  LARGE                                  10200.00
05-03-2022 RR215787             Pawpaw                                           9000.00
05-03-2022 RR215787             Pineapple Fruit                                 13500.00
05-03-2022 RR215787             Water Mellon                                     9000.00
05-03-2022 RR215787             Plantain                                         4000.00
07-03-2022 88791228             WEEKLY PURCHASES                  500000.00
07-03-2022 RR215792             CHIVITA  LARGE                                  10200.00
07-03-2022 RR215792             Chivita Small                                   12000.00
07-03-2022 RR215794             Gernadine                                        5400.00
07-03-2022 RR215793             Green Sponge                                     1500.00
07-03-2022 RR215793             Iron Sponge                                      2000.00
07-03-2022 RR215795             Assorted sweet                                   8000.00
07-03-2022 RR215796             Celery                                            800.00
07-03-2022 RR215796             BROCOLI IMPORTED                                 3000.00
07-03-2022 RR215796             CAULIC FLOWER                                    3000.00
07-03-2022 RR215796             Oziza Leaves                                     1000.00
07-03-2022 RR215796             Scent Leaves                                     1000.00
07-03-2022 RR215796             Afang Leave                                      3500.00
07-03-2022 RR215796             Apple                                           11000.00
07-03-2022 RR215796             Lemon Fruit                                       799.99
07-03-2022 RR215796             Green Beans                                      2500.00
07-03-2022 RR215796             Green Pepper                                     4000.00
07-03-2022 RR215796             Spring Onion                                     1200.00
07-03-2022 RR215796             IRISH POTATOE                                   15000.00
07-03-2022 RR215796             Ginger                                           1000.00
07-03-2022 RR215797             GARLIC  POWDER                                   2300.00
07-03-2022 RR215797             Pineapple Fruit                                 13500.00
07-03-2022 RR215797             Water Mellon                                     6000.00
07-03-2022 RR215797             Ugu Leaves                                       4000.00
07-03-2022 RR215797             Carrot                                           7000.00
07-03-2022 RR215797             Cucumber                                         4500.00
07-03-2022 RR215797             Eguisi                                           9100.00
07-03-2022 RR215797             OGBONO                                           4200.00
07-03-2022 RR215797             ORANGE                                           6500.00
07-03-2022 RR215797             Okro                                             2500.00
07-03-2022 RR215798             Cabbage                                          5500.00
07-03-2022 RR215798             Leek                                              800.00
07-03-2022 RR215798             Fresh Tomatos                                    8999.99
07-03-2022 RR215798             HOT PEPPER                                       6000.00
07-03-2022 RR215798             Red Pepper                                       5500.00
07-03-2022 RR215798             SHAMBO PEPPER                                    5500.00
07-03-2022 RR215799             BITTER KOLA                                      6000.00
07-03-2022 RR215799             Kola Nut                                         3000.00
08-03-2022 RR224472             BISCUIT                                         15400.00
08-03-2022 RR224473             Tooth Pick (Local)                               2250.00
08-03-2022 RR224474             Jumbo Prawn                                     25000.00
08-03-2022 RR224474             WHIPPING CREAM                                   3200.00
08-03-2022 RR224475             CHAPMANSTRAW                                     2700.00
08-03-2022 RR224476             STEWARD CAP                                      7000.00
08-03-2022 RR224476             Hand Glove                                       5000.00
08-03-2022 RR224477             Assorted sweet                                   8000.00
08-03-2022 RR224478             Pineapple Fruit                                 22500.00
08-03-2022 RR224478             Water Mellon                                    14400.00
08-03-2022 RR224478             Pawpaw                                          12000.00
08-03-2022 RR224478             Pepper Soup Spices                               2500.00
08-03-2022 RR224478             Banga                                            5000.00
08-03-2022 RR224478             CAMERON PEPPER                                   2000.00
08-03-2022 RR224478             Ogiri (Local Margi)                               999.99
08-03-2022 RR224478             Water Leaves                                     2500.00
08-03-2022 RR224478             Plantain                                         6999.99
08-03-2022 RR224478             BENNY SEASONING                                  1900.00
08-03-2022 RR224478             OGBONO                                           4200.00
08-03-2022 RR224478             Bitter Leaves                                    5000.00
08-03-2022 RR224478             Kpomo                                            3000.00
08-03-2022 RR224479             Stock Fish Head                                 12000.00
08-03-2022 RR224479             Orange Fruit                                     6500.00
08-03-2022 RR224479             Oha Leaves                                       1000.00
08-03-2022 RR224479             UZIZA SEEDS                                      2000.00
08-03-2022 RR224479             Sweet Potatoes                                   9999.99
08-03-2022 RR224479             Onion                                           13000.00
08-03-2022 RR224479             Pumpkin                                          1000.00
08-03-2022 RR224479             PERIWINKLE                                       4000.00
08-03-2022 RR224480             BITTER KOLA                                      6000.00
08-03-2022 RR224480             Kola Nut                                         3000.00
09-03-2022 RR228707             Red oil                                         22000.00
09-03-2022 RR228707             Dried Fish                                      24000.00
09-03-2022 RR228707             Pap                                              2500.00
09-03-2022 88791248             WEEKLY PURCHASES                  500000.00
09-03-2022 RR228706             Chivita Small                                   24000.00
09-03-2022 RR228707             BITTER KOLA                                      6000.00
09-03-2022 RR228707             Kola Nut                                         3000.00
10-03-2022 RR228730             BISCUIT                                         15400.00
10-03-2022 RR228731             CHIVITA  LARGE                                  25500.00
10-03-2022 RR228732             Amstel Malt                                      7600.00
10-03-2022 RR228732             Maltina                                          7600.00
10-03-2022 RR228732             Heineken Large                                  12840.00
10-03-2022 RR228733             Star Beer                                        3500.00
10-03-2022 RR228733             Stout (Large)                                   16500.00
10-03-2022 RR228733             STOUT MEDIUM                                    13000.00
10-03-2022 RR228733             TROPHY BEER                                      4000.00
10-03-2022 RR228733             HERO BEER                                        3500.00
10-03-2022 RR228733             ORIGIN BIG                                       4000.00
10-03-2022 RR228733             BUDWIESER                                       10000.00
10-03-2022 RR228733             Guinness Malta                                   9000.00
10-03-2022 RR228734             Cucumber                                         4500.00
10-03-2022 RR228734             Green Pepper                                     4500.00
10-03-2022 RR228734             Kpomo                                            2500.00
10-03-2022 RR228734             PERIWINKLE                                       4000.00
10-03-2022 RR228734             Afang Leave                                      4000.00
10-03-2022 RR228734             Ugu Leaves                                       4000.00
10-03-2022 RR228734             Stock Fish Head                                  8000.00
10-03-2022 RR228734             Orange Fruit                                     7000.00
10-03-2022 RR228734             Pineapple Fruit                                 18000.00
10-03-2022 RR228734             Water Mellon                                    14400.00
10-03-2022 RR228734             Pawpaw                                          12000.00
10-03-2022 RR228734             Lettuce                                          2100.00
10-03-2022 RR228734             Oha Leaves                                       1000.00
10-03-2022 RR228735             Water Leaves                                     3000.00
10-03-2022 RR228735             Fresh Tomatos                                    8999.99
10-03-2022 RR228736             Cat Fish                                        19500.00
10-03-2022 RR228737             Yam Tubas                                       12500.00
10-03-2022 RR228738             Utazi Leaves                                     1000.00
11-03-2022 NA                   SENAC WIN                                           0.00
11-03-2022 RR237652             BISCUIT                                         11000.00
11-03-2022 RR237653             CHIVITA  LARGE                                  10200.00
11-03-2022 RR237653             Chivita Small                                   18000.00
11-03-2022 RR237654             Assorted sweet                                   8000.00
11-03-2022 RR237655             Green Sponge                                     2000.00
11-03-2022 RR237656             Plantain                                         6000.00
11-03-2022 RR237656             Okro                                             3000.00
11-03-2022 RR237657             Dried Fish                                      24000.00
11-03-2022 RR237657             BITTER KOLA                                      6000.00
11-03-2022 RR237657             Kola Nut                                         3000.00
11-03-2022 88791263             WEEKLY PURCHASES                  500000.00
12-03-2022 RR237671             Tablet Butter                                   17220.00
12-03-2022 RR237672             CHIVITA  LARGE                                  10200.00
12-03-2022 RR237674             BROCOLI IMPORTED                                 3000.00
12-03-2022 RR237674             CAULIC FLOWER                                    3600.00
12-03-2022 RR237674             Water Mellon                                    14400.00
12-03-2022 RR237674             Pineapple Fruit                                 18000.00
12-03-2022 RR237674             Pawpaw                                          12000.00
14-03-2022 RR237696             Assorted sweet                                   8000.00
14-03-2022 RR237695             CHIVITA  LARGE                                  10200.00
14-03-2022 RR237695             Chivita Small                                   12000.00
14-03-2022 RR237694             BISCUIT                                         15400.00
14-03-2022 RR237697             Green Beans                                      5000.00
14-03-2022 RR237697             PERIWINKLE                                       4000.00
14-03-2022 RR237697             Eguisi                                           6500.00
14-03-2022 RR237697             OGBONO                                           6000.00
14-03-2022 RR237697             Cabbage                                          7000.00
14-03-2022 RR237697             Scent Leaves                                     1000.00
14-03-2022 RR237697             BROCOLI IMPORTED                                 2000.00
14-03-2022 RR237697             CAULIC FLOWER                                    2600.00
14-03-2022 RR237697             Celery                                           1000.00
14-03-2022 RR237697             IRISH POTATOE                                    9999.99
14-03-2022 RR237697             Lemon Fruit                                       800.00
14-03-2022 RR237697             Apple                                           11000.00
14-03-2022 RR237697             Pumpkin                                          1000.00
14-03-2022 RR237698             Orange Fruit                                    14000.00
14-03-2022 RR237698             Pineapple Fruit                                 27000.00
14-03-2022 RR237698             Water Mellon                                    21600.00
14-03-2022 RR237698             Ugu Leaves                                       6000.00
14-03-2022 RR237698             Afang Leave                                      8000.00
14-03-2022 RR237698             Fresh Tomatos                                    9000.00
14-03-2022 RR237698             HOT PEPPER                                       5000.00
14-03-2022 RR237698             Carrot                                          10000.00
14-03-2022 RR237698             Spring Onion                                     1500.00
14-03-2022 RR237698             Red Pepper                                       6000.00
14-03-2022 RR237699             SHAMBO PEPPER                                    6000.00
14-03-2022 RR237699             Oha Leaves                                       2000.00
14-03-2022 RR237699             Lettuce                                          2500.00
14-03-2022 RR237699             Okro                                             3000.00
14-03-2022 RR237699             Green Pepper                                     4000.00
14-03-2022 RR237699             GARLIC  POWDER                                   4600.00
14-03-2022 RR237699             Fresh Ginger                                     2000.00
14-03-2022 RR237699             Water Leaves                                     6000.00
14-03-2022 RR237700             Stock Fish Head                                 20000.00
14-03-2022 RR237700             Bitter Leaves                                    4000.00
14-03-2022 RR237700             PERIWINKLE                                       4000.00
14-03-2022 RR237700             CAMERON PEPPER                                   2000.00
14-03-2022 RR237700             Uzuza Leaves                                     1000.00
14-03-2022 RR237700             Kpomo                                            3000.00
14-03-2022 RR237700             Utazi Leaves                                     1000.00
14-03-2022 RR237700             Pepper Soup Spices                               2500.00
14-03-2022 RR237700             Plantain                                         4000.00
14-03-2022 RR237700             UZIZA SEEDS                                       800.00
14-03-2022 RR237700             BITTER KOLA                                      6000.00
14-03-2022 RR237700             Kola Nut                                         3000.00
14-03-2022 88791294             WEEKLY PURCHASES                  500000.00
15-03-2022 NA                   GYM RULES SIGN                                      0.00
15-03-2022 NA                   NO SMOKING SIGN                                     0.00
15-03-2022 RR224657             Apple                                           44000.00
15-03-2022 RR224658             Water Mellon                                    10800.00
15-03-2022 RR224658             Sweet Potatoes                                   9000.00
15-03-2022 RR224658             Onion                                            9000.00
15-03-2022 RR224658             Cucumber                                         3999.99
15-03-2022 RR224658             Pineapple Fruit                                 13500.00
15-03-2022 88791299             WEEKLY PURCHASES                  500000.00
16-03-2022 NA                   305 INK BLACK                                       0.00
16-03-2022 RR224674             PALM PEANUT                                      9450.00
16-03-2022 NA                   305 INK BLACK                                       0.00
16-03-2022 RR224675             Tablet Butter                                   11520.00
16-03-2022 RR224676             Chicks Peas(2kg)                                 2100.00
16-03-2022 RR224677             CHIVITA  LARGE                                  10200.00
16-03-2022 RR224677             Chivita Small                                   24000.00
16-03-2022 RR224678             Jumbo Prawn                                     23000.00
16-03-2022 RR224678             WIPPING CREAM                                    3200.00
16-03-2022 RR224679             BISCUIT                                         11500.00
16-03-2022 RR224680             I PHONE CHARGER                                 18000.00
16-03-2022 RR224681             BRANDY 501                                       7400.00
16-03-2022 RR224681             Angostural Bitter                               15000.00
16-03-2022 RR224682             Take Away Pack (small)                          10400.00
16-03-2022 RR224682             CHAPMANSTRAW                                     2400.00
16-03-2022 RR224683             Green Sponge                                     2000.00
16-03-2022 RR224684             Assorted sweet                                   9500.00
16-03-2022 RR224685             Yam Tubas                                       25000.00
16-03-2022 RR224685             Water Mellon                                    10800.00
16-03-2022 RR224685             Pineapple Fruit                                 13500.00
16-03-2022 RR224685             Pawpaw                                           9000.00
16-03-2022 RR224685             Orange Fruit                                     7000.00
16-03-2022 RR224685             Dried Fish                                      24000.00
16-03-2022 RR224685             Fresh Tomatos                                    9000.00
16-03-2022 RR224685             Plantain                                         6000.00
16-03-2022 RR224685             Eguisi                                           3900.00
16-03-2022 RR224685             Green Pepper                                     3500.00
16-03-2022 RR224686             Kpomo                                            2000.00
16-03-2022 RR224686             Pap                                              2500.00
16-03-2022 RR224686             Red oil                                         20000.00
16-03-2022 RR224687             BITTER KOLA                                      6000.00
16-03-2022 RR224687             Kola Nut                                         3000.00
16-03-2022 RR224687             Cat Fish                                        32500.00
17-03-2022 RR221003             PALM PEANUT                                      3900.00
17-03-2022 RR221003             BISCUIT                                         11000.00
17-03-2022 RR221004             Chivita Small                                   19500.00
17-03-2022 RR221005             Tablet Butter                                   13450.00
17-03-2022 RR221006             Coca Cola                                       12000.00
17-03-2022 RR221007             Assorted sweet                                   8000.00
17-03-2022 RR221008             Cabbage                                          6000.00
17-03-2022 RR221008             Peanut                                           9000.00
17-03-2022 RR221009             BITTER KOLA                                      6000.00
